"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PUBBIOTR","Secondary treatment","ISR","Israel","2017","2017","PC","Percentage","0","Units",,,37.1,,
"PUBBIOTR","Secondary treatment","ISR","Israel","2018","2018","PC","Percentage","0","Units",,,36.8,,
"PUBBIOTR","Secondary treatment","SVN","Slovenia","2017","2017","PC","Percentage","0","Units",,,24.3,,
"PUBBIOTR","Secondary treatment","SVN","Slovenia","2018","2018","PC","Percentage","0","Units",,,23.2,,
"PUBADVTR","Tertiary treatment","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,94.64,,
"PUBADVTR","Tertiary treatment","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,74.59,"E","Estimated value"
"PUBADVTR","Tertiary treatment","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,27.8,,
"PUBADVTR","Tertiary treatment","CZE","Czech Republic","2017","2017","PC","Percentage","0","Units",,,73.9,,
"PUBADVTR","Tertiary treatment","CZE","Czech Republic","2018","2018","PC","Percentage","0","Units",,,74.5,,
"PUBADVTR","Tertiary treatment","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,90.4,,
"PUBADVTR","Tertiary treatment","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,90.5,,
"PUBADVTR","Tertiary treatment","FIN","Finland","2018","2018","PC","Percentage","0","Units",,,85,,
"PUBADVTR","Tertiary treatment","FRA","France","2017","2017","PC","Percentage","0","Units",,,69,,
"PUBADVTR","Tertiary treatment","FRA","France","2018","2018","PC","Percentage","0","Units",,,68.3,,
"PUBADVTR","Tertiary treatment","HUN","Hungary","2017","2017","PC","Percentage","0","Units",,,72.006,"E","Estimated value"
"PUBADVTR","Tertiary treatment","HUN","Hungary","2018","2018","PC","Percentage","0","Units",,,73.285,"E","Estimated value"
"PUBADVTR","Tertiary treatment","IRL","Ireland","2017","2017","PC","Percentage","0","Units",,,20.91,"E","Estimated value"
"PUBADVTR","Tertiary treatment","JPN","Japan","2017","2017","PC","Percentage","0","Units",,,29.5,,
"PUBADVTR","Tertiary treatment","KOR","Korea","2017","2017","PC","Percentage","0","Units",,,90.92,,
"PUBADVTR","Tertiary treatment","KOR","Korea","2018","2018","PC","Percentage","0","Units",,,90.53,,
"PUBADVTR","Tertiary treatment","LUX","Luxembourg","2017","2017","PC","Percentage","0","Units",,,75.2,"E","Estimated value"
"PUBADVTR","Tertiary treatment","NLD","Netherlands","2017","2017","PC","Percentage","0","Units",,,99.3,,
"PUBADVTR","Tertiary treatment","NLD","Netherlands","2018","2018","PC","Percentage","0","Units",,,99.4,,
"PUBADVTR","Tertiary treatment","NOR","Norway","2017","2017","PC","Percentage","0","Units",,,45.6,,
"PUBADVTR","Tertiary treatment","NOR","Norway","2018","2018","PC","Percentage","0","Units",,,54.5,,
"PUBADVTR","Tertiary treatment","POL","Poland","2017","2017","PC","Percentage","0","Units",,,59.5,,
"PUBADVTR","Tertiary treatment","POL","Poland","2018","2018","PC","Percentage","0","Units",,,60,,
"PUBADVTR","Tertiary treatment","PRT","Portugal","2017","2017","PC","Percentage","0","Units",,,37.98,,
"PUBADVTR","Tertiary treatment","SVK","Slovak Republic","2017","2017","PC","Percentage","0","Units",,,1.8,,
"PUBADVTR","Tertiary treatment","SVK","Slovak Republic","2018","2018","PC","Percentage","0","Units",,,1.8,,
"PUBADVTR","Tertiary treatment","SWE","Sweden","2017","2017","PC","Percentage","0","Units",,,83,,
"PUBADVTR","Tertiary treatment","TUR","Turkey","2017","2017","PC","Percentage","0","Units",,,36.265,,
"PUBADVTR","Tertiary treatment","TUR","Turkey","2018","2018","PC","Percentage","0","Units",,,36.586,,
"PUBADVTR","Tertiary treatment","CHL","Chile","2017","2017","PC","Percentage","0","Units",,,68.36,,
"PUBADVTR","Tertiary treatment","EST","Estonia","2017","2017","PC","Percentage","0","Units",,,79.57,,
"PUBADVTR","Tertiary treatment","ISR","Israel","2017","2017","PC","Percentage","0","Units",,,53.4,,
"PUBADVTR","Tertiary treatment","ISR","Israel","2018","2018","PC","Percentage","0","Units",,,53.9,,
"PUBADVTR","Tertiary treatment","SVN","Slovenia","2017","2017","PC","Percentage","0","Units",,,41.7,,
"PUBADVTR","Tertiary treatment","SVN","Slovenia","2018","2018","PC","Percentage","0","Units",,,44.3,,
"INDEPDTR","Population connected to independent treatment","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,4.05,"E","Estimated value"
"INDEPDTR","Population connected to independent treatment","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,13.1,"E","Estimated value"
"INDEPDTR","Population connected to independent treatment","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,14.3,,
"INDEPDTR","Population connected to independent treatment","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,8.1,,
"INDEPDTR","Population connected to independent treatment","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,8,,
"INDEPDTR","Population connected to independent treatment","FIN","Finland","2018","2018","PC","Percentage","0","Units",,,15,,
"INDEPDTR","Population connected to independent treatment","FRA","France","2017","2017","PC","Percentage","0","Units",,,18,,
"INDEPDTR","Population connected to independent treatment","FRA","France","2018","2018","PC","Percentage","0","Units",,,19,,
"INDEPDTR","Population connected to independent treatment","IRL","Ireland","2017","2017","PC","Percentage","0","Units",,,31.11,"E","Estimated value"
"INDEPDTR","Population connected to independent treatment","JPN","Japan","2017","2017","PC","Percentage","0","Units",,,12.1,,
"INDEPDTR","Population connected to independent treatment","NLD","Netherlands","2017","2017","PC","Percentage","0","Units",,,0.5,"E","Estimated value"
"INDEPDTR","Population connected to independent treatment","NLD","Netherlands","2018","2018","PC","Percentage","0","Units",,,0.5,,
"INDEPDTR","Population connected to independent treatment","NOR","Norway","2017","2017","PC","Percentage","0","Units",,,14.8,,
"INDEPDTR","Population connected to independent treatment","NOR","Norway","2018","2018","PC","Percentage","0","Units",,,14.5,,
"INDEPDTR","Population connected to independent treatment","SWE","Sweden","2017","2017","PC","Percentage","0","Units",,,13,,
"INDEPDTR","Population connected to independent treatment","EST","Estonia","2017","2017","PC","Percentage","0","Units",,,5,,
"INDEPDTR","Population connected to independent treatment","ISR","Israel","2017","2017","PC","Percentage","0","Units",,,0.9,,
"INDEPDTR","Population connected to independent treatment","ISR","Israel","2018","2018","PC","Percentage","0","Units",,,0.9,,
"INDEPDTR","Population connected to independent treatment","SVN","Slovenia","2017","2017","PC","Percentage","0","Units",,,29.7,,
"INDEPDTR","Population connected to independent treatment","SVN","Slovenia","2018","2018","PC","Percentage","0","Units",,,29.9,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","SVK","Slovak Republic","2017","2017","PC","Percentage","0","Units",,,99.5,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","FIN","Finland","2018","2018","PC","Percentage","0","Units",,,100,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","CZE","Czech Republic","2017","2017","PC","Percentage","0","Units",,,82.4,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","CZE","Czech Republic","2018","2018","PC","Percentage","0","Units",,,82.4,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","POL","Poland","2017","2017","PC","Percentage","0","Units",,,73.5,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","POL","Poland","2018","2018","PC","Percentage","0","Units",,,74,,
"INDEPDTR","Population connected to independent treatment","SVK","Slovak Republic","2017","2017","PC","Percentage","0","Units",,,32.3,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","FRA","France","2017","2017","PC","Percentage","0","Units",,,82,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","FRA","France","2018","2018","PC","Percentage","0","Units",,,81,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","NLD","Netherlands","2017","2017","PC","Percentage","0","Units",,,100,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","NLD","Netherlands","2018","2018","PC","Percentage","0","Units",,,100,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","SWE","Sweden","2017","2017","PC","Percentage","0","Units",,,100,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","ISR","Israel","2017","2017","PC","Percentage","0","Units",,,96.699996948242,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","ISR","Israel","2018","2018","PC","Percentage","0","Units",,,96.8,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,83,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","JPN","Japan","2017","2017","PC","Percentage","0","Units",,,0,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","SVN","Slovenia","2017","2017","PC","Percentage","0","Units",,,95.7,,
"TOTTR","Total treatment ( = PUBTOTTR + INDEPDTR)","SVN","Slovenia","2018","2018","PC","Percentage","0","Units",,,97.4,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","JPN","Japan","2017","2017","PC","Percentage","0","Units",,,78.8,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","SVK","Slovak Republic","2017","2017","PC","Percentage","0","Units",,,67.2,,
"PUBTOTTR","Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR)","SVK","Slovak Republic","2018","2018","PC","Percentage","0","Units",,,67.900001525879,,
